PING www.flamingotravel.com.vn (45.124.94.140) 56(84) bytes of data.
64 bytes from 45.124.94.140: icmp_seq=83 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=84 ttl=46 time=264 ms
64 bytes from 45.124.94.140: icmp_seq=85 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=86 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=87 ttl=46 time=264 ms
64 bytes from 45.124.94.140: icmp_seq=88 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=89 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=90 ttl=46 time=264 ms
64 bytes from 45.124.94.140: icmp_seq=91 ttl=46 time=264 ms
64 bytes from 45.124.94.140: icmp_seq=92 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=93 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=94 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=95 ttl=46 time=265 ms
64 bytes from 45.124.94.140: icmp_seq=96 ttl=46 time=264 ms
64 bytes from 45.124.94.140: icmp_seq=97 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=98 ttl=46 time=265 ms
64 bytes from 45.124.94.140: icmp_seq=99 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=100 ttl=46 time=269 ms
64 bytes from 45.124.94.140: icmp_seq=101 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=102 ttl=46 time=265 ms
64 bytes from 45.124.94.140: icmp_seq=103 ttl=46 time=265 ms
64 bytes from 45.124.94.140: icmp_seq=104 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=105 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=106 ttl=46 time=265 ms
64 bytes from 45.124.94.140: icmp_seq=107 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=108 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=109 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=110 ttl=46 time=265 ms
64 bytes from 45.124.94.140: icmp_seq=111 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=112 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=113 ttl=46 time=265 ms
64 bytes from 45.124.94.140: icmp_seq=114 ttl=46 time=264 ms
64 bytes from 45.124.94.140: icmp_seq=115 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=116 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=117 ttl=46 time=265 ms
64 bytes from 45.124.94.140: icmp_seq=118 ttl=46 time=266 ms
64 bytes from 45.124.94.140: icmp_seq=119 ttl=46 time=267 ms
64 bytes from 45.124.94.140: icmp_seq=120 ttl=46 time=265 ms

--- www.flamingotravel.com.vn ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119002ms
rtt min/avg/max/mdev = 264.509/266.135/269.037/1.133 ms
